Name,Institution,Link,Arxiv_Cat,Regular,Timezone,Day,Time_start,Time_end,Day_2,Time_start_2,Time_end_2,Time_comments
Probability and the city,NYU/Columbia,https://math.nyu.edu/seminars/probability/patc_seminar.html,math.PR,YES,UTC -04:00,Friday,11:00:00,12:00:00,,,,
"Horowitz Seminar on Probability, Ergodic Theory and Dynamical Systems",Tel Aviv University,http://www.math.tau.ac.il/~peledron/Horowitz_seminar/Horowitz_seminar.html,"math.PR, math.DS",YES,UTC +03:00,Monday,14:30:00,15:30:00,,,,
Helsinki Logic Group Seminar,University of Helsinki,https://wiki.helsinki.fi/display/Logic/Seminar,math.LO,YES,UTC +03:00,Wednesday,12:00:00,14:00:00,,,,
Southern Illinois University Online Logic Seminar,Southern Illinois University,http://lagrange.math.siu.edu/calvert/OnlineLogicSeminar.html,math.LO,YES,UTC -05:00,Thursday,13:00:00,14:00:00,,,,
IMJ-PRG Séminaire Général de Logique,IMJ-PRG ,https://www.imj-prg.fr/gestion/evenement/affEvenement/66,math.LO,YES,UTC +02:00,Wednesday,16:00:00,17:00:00,,,,
Columbia Geometric Topology Seminar,Columbia,https://www.math.columbia.edu/~gtseminar/,math.GT,YES,UTC -04:00,Friday,14:00:00,15:00:00,,,,
NY Group Theory Seminar,NY Group Theory Cooperative,https://sites.google.com/site/nygrouptheory/new-york-group-theory-seminar/spring-2020,math.GR,NO,,,,,,,,
Edimburgh Geometry Seminar,Edinburgh Hodge Institute,https://hodge.maths.ed.ac.uk/tiki/EDGE,"math.DG,math.MG",YES,UTC +01:00,Tuesday,15:30:00,16:30:00,,,,
Stanford Algebraic Geometry Seminar,Stanford,https://agstanford.com/,math.AG,YES,UTC -07:00,Friday,11:00:00,12:30:00,,,,
EPC Extremal and Probabilistic Combinatorics Webinar,,https://sites.google.com/view/epcwebinar/,"math.CO, math.PR",YES,UTC +00:00,Monday,13:00:00,14:00:00,,,,
International Seminar on Automorphic Forms,"TU Darmstadt, ETH Zurich",https://www2.mathematik.tu-darmstadt.de/~international_seminar/,"math.NT, math.AG",YES,UTC +02:00,Wednesday,15:00:00,16:00:00,,,,
Waves in one world,One World Seminar,https://sites.google.com/view/waves-ow/home,math.AP,YES,UTC +01:00,Wednesday,15:00:00,17:00:00,,,,
One world game theory seminar,One World Seminar,https://gametheorynetwork.com/one-world-game-theory-seminar/,,YES,UTC +02:00,Monday,15:00:00,16:00:00,,,,Biweekly
One world mathematical methods for arbitrary data sources,One World Seminar,http://www.nonlocal-methods.eu/oneworld/,,NO,,,,,,,,
New York Combinatorics Seminar,CUNY,http://userhome.brooklyn.cuny.edu/skingan/CombinatoricsSeminar/,math.CO,YES,UTC -04:00,Friday,11:45:00,12:45:00,,,,
One world MINDS: Mathematics of Information Data and Signals ,One World Seminar,https://sites.google.com/view/minds-seminar/home,Math.IT,YES,UTC -04:00,Thursday,14:30:00,15:30:00,,,,Biweekly
Western Hemisphere Colloquium on Geometry and Physics,,http://web.math.ucsb.edu/~drm/WHCGP/,"Math.MP, math.DG",YES,UTC -07:00,Monday,12:00:00,13:15:00,,,,Biweekly
Online working seminar in ergodic theory,University of Utah,http://www.math.utah.edu/~chaika/workingseminar,"Math.PR, Math.DS",YES,UTC -06:00,Tuesday,14:00:00,15:00:00,,,,
Math and Data (MAD+),"NYU CDS, ETHZ",http://mad.cds.nyu.edu/madplus/,,YES,UTC +02:00,Wednesday,16:00:00,17:00:00,,,,
Virtual Lecture Series in Dynamics,Univeristy of Maryland,https://www-math.umd.edu/dynamics-conference.html,Math.DS,YES,UTC -04:00,Thursday,14:00:00,15:00:00,,,,
Algebraic topology from a geometric viewpoint,University of Oregon,https://pages.uoregon.edu/dps/GeometricAlgebraicTopology/,Math.AT,YES,UTC -07:00,Monday,9:00:00,10:00:00,,,,
